ID,SUBJECT,MESSAGE
1,Indisponible par ping ICMP : PROBLÈME pour 10.116.156.108,"[PROBLÈME : Désastre]
Hôte : 10.116.156.108 (10.116.156.108)
Nom : Indisponible par ping ICMP
Événement : 40774274, Déclencheur : 28759
Description : Les trois dernières tentatives ont abouti à un délai d'attente. Veuillez vérifier la connectivité de l'appareil.
Problème commencé à 01:07:08 le 2024.02.19
Nom du problème : Indisponible par ping ICMP
Hôte : SWLONS
Gravité : Désastre
Données opérationnelles : Arrêt (0)
ID du problème original : 40774274
"
2,Indisponible par ping ICMP : PROBLÈME pour FW-WL,"[PROBLÈME : Élevé]
Hôte : FW-WL (172.20.20.1)
Nom : Indisponible par ping ICMP
Événement : 40774275, Déclencheur : 28760
Description : Les trois dernières tentatives ont abouti à un délai d'attente. Veuillez vérifier la connectivité de l'appareil.
Problème commencé à 01:07:08 le 2024.02.19
Nom du problème : Indisponible par ping ICMP
Hôte : FW-WL
Gravité : Élevé
Données opérationnelles : Arrêt (0)
ID du problème original : 40774275
"
3,Échec de l'état de vérification de santé pour FW_NA sur le membre 2,"[PROBLÈME : Élevé]
Hôte : FW-DC (192.168.200.1)
Nom : Échec de l'état de vérification de santé pour FW_NA sur le membre 2
Événement : 40774276, Déclencheur : 28761
Description : La vérification de santé a échoué pour le membre 2. Veuillez vérifier l'état du membre.
Problème commencé à 01:07:08 le 2024.02.19
Nom du problème : Échec de l'état de vérification de santé pour FW_NA sur le membre 2
Hôte : FW-DC
Gravité : Élevé
Données opérationnelles : Échec (1)
ID du problème original : 40774276
"
4,Échec de l'état de vérification de santé pour FW_NA sur le membre 3,"[PROBLÈME : Élevé]
Hôte : FW-DC (192.168.200.1)
Nom : Échec de l'état de vérification de santé pour FW_NA sur le membre 3
Événement : 40774277, Déclencheur : 28762
Description : La vérification de santé a échoué pour le membre 3. Veuillez vérifier l'état du membre.
Problème commencé à 01:07:08 le 2024.02.19
Nom du problème : Échec de l'état de vérification de santé pour FW_NA sur le membre 3
Hôte : FW-DC
Gravité : Élevé
Données opérationnelles : Échec (1)
ID du problème original : 40774277
"
5,Tunnel VPN hors service [ADM 73 - 10.122.96.0/17] : PROBLÈME,"[PROBLÈME : Élevé]
Hôte : FW-DC (192.168.200.1)
Nom : Tunnel VPN hors service [ADM 73 - 10.122.96.0/17]
Événement : 40774278, Déclencheur : 28763
Description : Le tunnel VPN est hors service. Veuillez vérifier la connectivité du tunnel.
Problème commencé à 01:07:08 le 2024.02.19
Nom du problème : Tunnel VPN hors service [ADM 73 - 10.122.96.0/17]
Hôte : FW-DC
Gravité : Élevé
Données opérationnelles : Hors service (1)
ID du problème original : 40774278
"
6,Tunnel VPN hors service [ADM 74 - 10.122.0.0/20] : PROBLÈME,"[PROBLÈME : Élevé]
Hôte : FW-DC (192.168.200.1)
Nom : Tunnel VPN hors service [ADM 74 - 10.122.0.0/20]
Événement : 40774279, Déclencheur : 28764
Description : Le tunnel VPN est hors service. Veuillez vérifier la connectivité du tunnel.
Problème commencé à 01:07:08 le 2024.02.19
Nom du problème : Tunnel VPN hors service [ADM 74 - 10.122.0.0/20]
Hôte : FW-DC
Gravité : Élevé
Données opérationnelles : Hors service (1)
ID du problème original : 40774279
"
7,Tunnel VPN hors service [ADM 74 - 10.122.96.0/17] : PROBLÈME,"[PROBLÈME : Élevé]
Hôte : FW-DC (192.168.200.1)
Nom : Tunnel VPN hors service [ADM 74 - 10.122.96.0/17]
Événement : 40774280, Déclencheur : 28765
Description : Le tunnel VPN est hors service. Veuillez vérifier la connectivité du tunnel.
Problème commencé à 01:07:08 le 2024.02.19
Nom du problème : Tunnel VPN hors service [ADM 74 - 10.122.96.0/17]
Hôte : FW-DC
Gravité : Élevé
Données opérationnelles : Hors service (1)
ID du problème original : 40774280
"
8,Tunnel VPN hors service [TAHITI - 10.116.0.0/16] : PROBLÈME,"[PROBLÈME : Élevé]
Hôte : FW-DC (192.168.200.1)
Nom : Tunnel VPN hors service [TAHITI - 10.116.0.0/16]
Événement : 40774281, Déclencheur : 28766
Description : Le tunnel VPN est hors service. Veuillez vérifier la connectivité du tunnel.
Problème commencé à 01:07:08 le 2024.02.19
Nom du problème : Tunnel VPN hors service [TAHITI - 10.116.0.0/16]
Hôte : FW-DC
Gravité : Élevé
Données opérationnelles : Hors service (1)
ID du problème original : 40774281
"
9,Tunnel VPN hors service [TAHITI - 10.122.96.0/17] : PROBLÈME,"[PROBLÈME : Élevé]
Hôte : FW-DC (192.168.200.1)
Nom : Tunnel VPN hors service [TAHITI - 10.122.96.0/17]
Événement : 40774282, Déclencheur : 28767
Description : Le tunnel VPN est hors service. Veuillez vérifier la connectivité du tunnel.
Problème commencé à 01:07:08 le 2024.02.19
Nom du problème : Tunnel VPN hors service [TAHITI - 10.122.96.0/17]
Hôte : FW-DC
Gravité : Élevé
Données opérationnelles : Hors service (1)
ID du problème original : 40774282
"
10,Tunnel VPN hors service [TAHITI - 10.122.0.0/20] : PROBLÈME,"[PROBLÈME : Élevé]
Hôte : FW-DC (192.168.200.1)
Nom : Tunnel VPN hors service [TAHITI - 10.122.0.0/20]
Événement : 40774283, Déclencheur : 28768
Description : Le tunnel VPN est hors service. Veuillez vérifier la connectivité du tunnel.
Problème commencé à 01:07:08 le 2024.02.19
Nom du problème : Tunnel VPN hors service [TAHITI - 10.122.0.0/20]
Hôte : FW-DC
Gravité : Élevé
Données opérationnelles : Hors service (1)
ID du problème original : 40774283
"
