ID,SUBJECT,MESSAGE
1,No disponible por ping ICMP: PROBLEMA para 10.116.156.108,"[PROBLEMA: Desastre]
Host: 10.116.156.108 (10.116.156.108)
Nombre: No disponible por ping ICMP
Evento: 40774274, Disparador: 28759
Descripción: Las últimas tres intentos resultaron en tiempo de espera. Por favor, verifique la conectividad del dispositivo.
El problema comenzó a las 01:07:08 el 2024.02.19
Nombre del problema: No disponible por ping ICMP
Host: SWLONS
Gravedad: Desastre
Datos operativos: Caído (0)
ID del problema original: 40774274
"
2,No disponible por ping ICMP: PROBLEMA para FW-WL,"[PROBLEMA: Alto]
Host: FW-WL (172.20.20.1)
Nombre: No disponible por ping ICMP
Evento: 40774275, Disparador: 28760
Descripción: Las últimas tres intentos resultaron en tiempo de espera. Por favor, verifique la conectividad del dispositivo.
El problema comenzó a las 01:07:08 el 2024.02.19
Nombre del problema: No disponible por ping ICMP
Host: FW-WL
Gravedad: Alto
Datos operativos: Caído (0)
ID del problema original: 40774275
"
3,Estado de verificación de salud fallido para FW_NA en el miembro 2,"[PROBLEMA: Alto]
Host: FW-DC (192.168.200.1)
Nombre: Estado de verificación de salud fallido para FW_NA
Evento: 40774276, Disparador: 28761
Descripción: La verificación de salud falló para FW_NA en el miembro 2.
El problema comenzó a las 01:07:08 el 2024.02.19
Nombre del problema: Estado de verificación de salud fallido para FW_NA
Host: FW-DC
Gravedad: Alto
Datos operativos: Fallido (0)
ID del problema original: 40774276
"
4,Estado de verificación de salud fallido para FW_NA en el miembro 3,"[PROBLEMA: Alto]
Host: FW-DC (192.168.200.1)
Nombre: Estado de verificación de salud fallido para FW_NA
Evento: 40774277, Disparador: 28762
Descripción: La verificación de salud falló para FW_NA en el miembro 3.
El problema comenzó a las 01:07:08 el 2024.02.19
Nombre del problema: Estado de verificación de salud fallido para FW_NA
Host: FW-DC
Gravedad: Alto
Datos operativos: Fallido (0)
ID del problema original: 40774277
"
5,Túnel VPN caído [ADM 73 - 10.122.96.0/17]: PROBLEMA,"[PROBLEMA: Alto]
Host: FW-DC (192.168.200.1)
Nombre: Túnel VPN caído [ADM 73 - 10.122.96.0/17]
Evento: 40774278, Disparador: 28763
Descripción: El túnel VPN [ADM 73 - 10.122.96.0/17] está caído.
El problema comenzó a las 01:07:08 el 2024.02.19
Nombre del problema: Túnel VPN caído [ADM 73 - 10.122.96.0/17]
Host: FW-DC
Gravedad: Alto
Datos operativos: Caído (0)
ID del problema original: 40774278
"
6,Túnel VPN caído [ADM 74 - 10.122.0.0/20]: PROBLEMA,"[PROBLEMA: Alto]
Host: FW-DC (192.168.200.1)
Nombre: Túnel VPN caído [ADM 74 - 10.122.0.0/20]
Evento: 40774279, Disparador: 28764
Descripción: El túnel VPN [ADM 74 - 10.122.0.0/20] está caído.
El problema comenzó a las 01:07:08 el 2024.02.19
Nombre del problema: Túnel VPN caído [ADM 74 - 10.122.0.0/20]
Host: FW-DC
Gravedad: Alto
Datos operativos: Caído (0)
ID del problema original: 40774279
"
7,Túnel VPN caído [ADM 74 - 10.122.96.0/17]: PROBLEMA,"[PROBLEMA: Alto]
Host: FW-DC (192.168.200.1)
Nombre: Túnel VPN caído [ADM 74 - 10.122.96.0/17]
Evento: 40774280, Disparador: 28765
Descripción: El túnel VPN [ADM 74 - 10.122.96.0/17] está caído.
El problema comenzó a las 01:07:08 el 2024.02.19
Nombre del problema: Túnel VPN caído [ADM 74 - 10.122.96.0/17]
Host: FW-DC
Gravedad: Alto
Datos operativos: Caído (0)
ID del problema original: 40774280
"
8,Túnel VPN caído [TAHITI - 10.116.0.0/16]: PROBLEMA,"[PROBLEMA: Alto]
Host: FW-DC (192.168.200.1)
Nombre: Túnel VPN caído [TAHITI - 10.116.0.0/16]
Evento: 40774281, Disparador: 28766
Descripción: El túnel VPN [TAHITI - 10.116.0.0/16] está caído.
El problema comenzó a las 01:07:08 el 2024.02.19
Nombre del problema: Túnel VPN caído [TAHITI - 10.116.0.0/16]
Host: FW-DC
Gravedad: Alto
Datos operativos: Caído (0)
ID del problema original: 40774281
"
9,Túnel VPN caído [TAHITI - 10.122.96.0/17]: PROBLEMA,"[PROBLEMA: Alto]
Host: FW-DC (192.168.200.1)
Nombre: Túnel VPN caído [TAHITI - 10.122.96.0/17]
Evento: 40774282, Disparador: 28767
Descripción: El túnel VPN [TAHITI - 10.122.96.0/17] está caído.
El problema comenzó a las 01:07:08 el 2024.02.19
Nombre del problema: Túnel VPN caído [TAHITI - 10.122.96.0/17]
Host: FW-DC
Gravedad: Alto
Datos operativos: Caído (0)
ID del problema original: 40774282
"
10,Túnel VPN caído [TAHITI - 10.122.0.0/20]: PROBLEMA,"[PROBLEMA: Alto]
Host: FW-DC (192.168.200.1)
Nombre: Túnel VPN caído [TAHITI - 10.122.0.0/20]
Evento: 40774283, Disparador: 28768
Descripción: El túnel VPN [TAHITI - 10.122.0.0/20] está caído.
El problema comenzó a las 01:07:08 el 2024.02.19
Nombre del problema: Túnel VPN caído [TAHITI - 10.122.0.0/20]
Host: FW-DC
Gravedad: Alto
Datos operativos: Caído (0)
ID del problema original: 40774283
"
