ID,SUBJECT,MESSAGE
1,Unavailable by ICMP ping: PROBLEM for 10.116.156.108,"[PROBLEM: Disaster]
Host: 10.116.156.108 (10.116.156.108)
Name: Unavailable by ICMP ping
Event: 40774274, Trigger: 28759
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:07:08 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: SWLONS
Severity: Disaster
Operational data: Down (0)
Original problem ID: 40774274
"
2,Unavailable by ICMP ping: PROBLEM for FW-WL,"[PROBLEM: High]
Host: FW-WL (172.20.20.1)
Name: Unavailable by ICMP ping
Event: 40774427, Trigger: 160465
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:08:20 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: FW-WL
Severity: High
Operational data: Down (0)
Original problem ID: 40774427
"
3,Health Check State Failed to FW_NA on member 2: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: Health Check State Failed to FW_NA on member 2
Event: 40774972, Trigger: 163788
Description: 
Problem started at 01:09:51 on 2024.02.19
Problem name: Health Check State Failed to FW_NA on member 2
Host: FW-DC
Severity: High
Operational data: Status: Alarm (1)
Original problem ID: 40774972
"
4,Health Check State Failed to FW_NA on member 3: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: Health Check State Failed to FW_NA on member 3
Event: 40774973, Trigger: 163789
Description: 
Problem started at 01:09:51 on 2024.02.19
Problem name: Health Check State Failed to FW_NA on member 3
Host: FW-DC
Severity: High
Operational data: Status: Alarm (1)
Original problem ID: 40774973
"
5,VPN Tunnel Down [ADM 73 - 10.122.96.0/17]: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [ADM 73 - 10.122.96.0/17]
Event: 40776532, Trigger: 163805
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:11:21 on 2024.02.19
Problem name: VPN Tunnel Down [ADM 73 - 10.122.96.0/17]
Host: FW-DC
Severity: High
Operational data: 1
Original problem ID: 40776532
"
6,VPN Tunnel Down [ADM 74 - 10.122.0.0/20]: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [ADM 74 - 10.122.0.0/20]
Event: 40776534, Trigger: 163807
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:11:21 on 2024.02.19
Problem name: VPN Tunnel Down [ADM 74 - 10.122.0.0/20]
Host: FW-DC
Severity: High
Operational data: 1
Original problem ID: 40776534
"
7,VPN Tunnel Down [ADM 74 - 10.122.96.0/17]: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [ADM 74 - 10.122.96.0/17]
Event: 40776535, Trigger: 163808
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:11:21 on 2024.02.19
Problem name: VPN Tunnel Down [ADM 74 - 10.122.96.0/17]
Host: FW-DC
Severity: High
Operational data: 1
Original problem ID: 40776535
"
8,VPN Tunnel Down [TAHITI - 10.116.0.0/16]: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [TAHITI - 10.116.0.0/16]
Event: 40776536, Trigger: 163809
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:11:21 on 2024.02.19
Problem name: VPN Tunnel Down [TAHITI - 10.116.0.0/16]
Host: FW-DC
Severity: High
Operational data: 1
Original problem ID: 40776536
"
9,VPN Tunnel Down [TAHITI - 10.122.96.0/17]: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [TAHITI - 10.122.96.0/17]
Event: 40776538, Trigger: 163811
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:11:21 on 2024.02.19
Problem name: VPN Tunnel Down [TAHITI - 10.122.96.0/17]
Host: FW-DC
Severity: High
Operational data: 1
Original problem ID: 40776538
"
10,VPN Tunnel Down [TAHITI - 10.122.0.0/20]: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [TAHITI - 10.122.0.0/20]
Event: 40776537, Trigger: 163810
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:11:21 on 2024.02.19
Problem name: VPN Tunnel Down [TAHITI - 10.122.0.0/20]
Host: FW-DC
Severity: High
Operational data: 1
Original problem ID: 40776537
"
11,Unavailable by ICMP ping: PROBLEM for 172.20.71.5,"[PROBLEM: High]
Host: 172.20.71.5 (172.20.71.5)
Name: Unavailable by ICMP ping
Event: 40776672, Trigger: 170498
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:12:09 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: ILO-SRP-TA-E01-001
Severity: High
Operational data: Down (0)
Original problem ID: 40776672
"
12,MSSQL: Service is unavailable: PROBLEM for RES-PA-W01-002_SQL-PA-W01-002,"[PROBLEM: Disaster]
Host: RES-PA-W01-002_SQL-PA-W01-002 (10.122.1.70)
Name: MSSQL: Service is unavailable
Event: 40779421, Trigger: 137123
Description: The TCP port of the MS SQL Server service is currently unavailable.
Problem started at 01:16:51 on 2024.02.19
Problem name: MSSQL: Service is unavailable
Host: RES-PA-W01-002_SQL-PA-W01-002 (Stats)
Severity: Disaster
Operational data: Down (0)
Original problem ID: 40779421
"
13,MSSQL: Service is unavailable: PROBLEM for RES-PA-W01-001_SQL-PA-W01-001,"[PROBLEM: Disaster]
Host: RES-PA-W01-001_SQL-PA-W01-001 (10.122.1.69)
Name: MSSQL: Service is unavailable
Event: 40779425, Trigger: 176627
Description: The TCP port of the MS SQL Server service is currently unavailable.
Problem started at 01:17:02 on 2024.02.19
Problem name: MSSQL: Service is unavailable
Host: RES-PA-W01-001_SQL-PA-W01-001 (Prod)
Severity: Disaster
Operational data: Down (0)
Original problem ID: 40779425
"
14,Unavailable by ICMP ping: PROBLEM for 10.122.21.137,"[PROBLEM: High]
Host: 10.122.21.137 (10.122.21.137)
Name: Unavailable by ICMP ping
Event: 40779594, Trigger: 153933
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:19:06 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: VISIO_CLICKSHARE_LILLE_SEBASTOPOL
Severity: High
Operational data: Down (0)
Original problem ID: 40779594
"
15,Unavailable by ICMP ping: PROBLEM for IDRAC-SRP-LO-W02-001,"[PROBLEM: High]
Host: IDRAC-SRP-LO-W02-001 (10.116.156.109)
Name: Unavailable by ICMP ping
Event: 40774294, Trigger: 172013
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:07:16 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: IDRAC-SRP-LO-W02-001
Severity: High
Operational data: Down (0)
Original problem ID: 40774294
"
16,MSSQL: Service is unavailable: PROBLEM for RES-PA-W01-003_SQL-PA-W01-003,"[PROBLEM: Disaster]
Host: RES-PA-W01-003_SQL-PA-W01-003 (10.122.1.71)
Name: MSSQL: Service is unavailable
Event: 40774318, Trigger: 177019
Description: The TCP port of the MS SQL Server service is currently unavailable.
Problem started at 01:07:37 on 2024.02.19
Problem name: MSSQL: Service is unavailable
Host: RES-PA-W01-003_SQL-PA-W01-003 (Query)
Severity: Disaster
Operational data: Down (0)
Original problem ID: 40774318
"
