ID,SUBJECT,MESSAGE
1,Indisponible par ping ICMP : PROBLÈME pour 10.116.156.108,"[PROBLÈME : Catastrophe]
Hôte : 10.116.156.108 (10.116.156.108)
Nom : Indisponible par ping ICMP
Événement : 40774274, Déclencheur : 28759
Description : Les trois dernières tentatives ont renvoyé un délai d'attente. Veuillez vérifier la connectivité de l'appareil.
Le problème a commencé à 01:07:08 le 2024.02.19
Nom du problème : Indisponible par ping ICMP
Hôte : SWLONS
Gravité : Catastrophe
Données opérationnelles : Hors service (0)
ID du problème d'origine : 40774274
"
2,Indisponible par ping ICMP : PROBLÈME pour FW-WL,"[PROBLÈME : Élevé]
Hôte : FW-WL (172.20.20.1)
Nom : Indisponible par ping ICMP
Événement : 40774427, Déclencheur : 160465
Description : Les trois dernières tentatives ont renvoyé un délai d'attente. Veuillez vérifier la connectivité de l'appareil.
Le problème a commencé à 01:08:20 le 2024.02.19
Nom du problème : Indisponible par ping ICMP
Hôte : FW-WL
Gravité : Élevé
Données opérationnelles : Hors service (0)
ID du problème d'origine : 40774427
"
3,Échec de l'état de vérification de santé vers FW_NA sur le membre 2 : PROBLÈME pour FW-DC,"[PROBLÈME : Élevé]
Hôte : FW-DC (192.168.200.1)
Nom : Échec de l'état de vérification de santé vers FW_NA sur le membre 2
Événement : 40774972, Déclencheur : 163788
Description : 
Le problème a commencé à 01:09:51 le 2024.02.19
Nom du problème : Échec de l'état de vérification de santé vers FW_NA sur le membre 2
Hôte : FW-DC
Gravité : Élevé
Données opérationnelles : Statut : Alarme (1)
ID du problème d'origine : 40774972
"
4,Échec de l'état de vérification de santé vers FW_NA sur le membre 3 : PROBLÈME pour FW-DC,"[PROBLÈME : Élevé]
Hôte : FW-DC (192.168.200.1)
Nom : Échec de l'état de vérification de santé vers FW_NA sur le membre 3
Événement : 40774973, Déclencheur : 163789
Description : 
Le problème a commencé à 01:09:51 le 2024.02.19
Nom du problème : Échec de l'état de vérification de santé vers FW_NA sur le membre 3
Hôte : FW-DC
Gravité : Élevé
Données opérationnelles : Statut : Alarme (1)
ID du problème d'origine : 40774973
"
5,Tunnel VPN hors service [ADM 73 - 10.122.96.0/17] : PROBLÈME pour FW-DC,"[PROBLÈME : Élevé]
Hôte : FW-DC (192.168.200.1)
Nom : Tunnel VPN hors service [ADM 73 - 10.122.96.0/17]
Événement : 40776532, Déclencheur : 163805
Description : Le tunnel VPN IPsec Phase 2 est hors service, veuillez vérifier !
Le problème a commencé à 01:11:21 le 2024.02.19
Nom du problème : Tunnel VPN hors service [ADM 73 - 10.122.96.0/17]
Hôte : FW-DC
Gravité : Élevé
Données opérationnelles : 1
ID du problème d'origine : 40776532
"
6,Tunnel VPN hors service [ADM 74 - 10.122.0.0/20] : PROBLÈME pour FW-DC,"[PROBLÈME : Élevé]
Hôte : FW-DC (192.168.200.1)
Nom : Tunnel VPN hors service [ADM 74 - 10.122.0.0/20]
Événement : 40776534, Déclencheur : 163807
Description : Le tunnel VPN IPsec Phase 2 est hors service, veuillez vérifier !
Le problème a commencé à 01:11:21 le 2024.02.19
Nom du problème : Tunnel VPN hors service [ADM 74 - 10.122.0.0/20]
Hôte : FW-DC
Gravité : Élevé
Données opérationnelles : 1
ID du problème d'origine : 40776534
"
7,Tunnel VPN hors service [ADM 74 - 10.122.96.0/17] : PROBLÈME pour FW-DC,"[PROBLÈME : Élevé]
Hôte : FW-DC (192.168.200.1)
Nom : Tunnel VPN hors service [ADM 74 - 10.122.96.0/17]
Événement : 40776535, Déclencheur : 163808
Description : Le tunnel VPN IPsec Phase 2 est hors service, veuillez vérifier !
Le problème a commencé à 01:11:21 le 2024.02.19
Nom du problème : Tunnel VPN hors service [ADM 74 - 10.122.96.0/17]
Hôte : FW-DC
Gravité : Élevé
Données opérationnelles : 1
ID du problème d'origine : 40776535
"
8,Tunnel VPN hors service [TAHITI - 10.116.0.0/16] : PROBLÈME pour FW-DC,"[PROBLÈME : Élevé]
Hôte : FW-DC (192.168.200.1)
Nom : Tunnel VPN hors service [TAHITI - 10.116.0.0/16]
Événement : 40776536, Déclencheur : 163809
Description : Le tunnel VPN IPsec Phase 2 est hors service, veuillez vérifier !
Le problème a commencé à 01:11:21 le 2024.02.19
Nom du problème : Tunnel VPN hors service [TAHITI - 10.116.0.0/16]
Hôte : FW-DC
Gravité : Élevé
Données opérationnelles : 1
ID du problème d'origine : 40776536
"
9,Tunnel VPN hors service [TAHITI - 10.122.96.0/17] : PROBLÈME pour FW-DC,"[PROBLÈME : Élevé]
Hôte : FW-DC (192.168.200.1)
Nom : Tunnel VPN hors service [TAHITI - 10.122.96.0/17]
Événement : 40776538, Déclencheur : 163811
Description : Le tunnel VPN IPsec Phase 2 est hors service, veuillez vérifier !
Le problème a commencé à 01:11:21 le 2024.02.19
Nom du problème : Tunnel VPN hors service [TAHITI - 10.122.96.0/17]
Hôte : FW-DC
Gravité : Élevé
Données opérationnelles : 1
ID du problème d'origine : 40776538
"
10,Tunnel VPN hors service [TAHITI - 10.122.0.0/20] : PROBLÈME pour FW-DC,"[PROBLÈME : Élevé]
Hôte : FW-DC (192.168.200.1)
Nom : Tunnel VPN hors service [TAHITI - 10.122.0.0/20]
Événement : 40776537, Déclencheur : 163810
Description : Le tunnel VPN IPsec Phase 2 est hors service, veuillez vérifier !
Le problème a commencé à 01:11:21 le 2024.02.19
Nom du problème : Tunnel VPN hors service [TAHITI - 10.122.0.0/20]
Hôte : FW-DC
Gravité : Élevé
Données opérationnelles : 1
ID du problème d'origine : 40776537
"
