ID,SUBJECT,MESSAGE
1,Nicht erreichbar per ICMP-Ping: PROBLEM für 10.116.156.108,"[PROBLEM: Katastrophe]
Host: 10.116.156.108 (10.116.156.108)
Name: Nicht erreichbar per ICMP-Ping
Event: 40774274, Trigger: 28759
Beschreibung: Die letzten drei Versuche ergaben einen Timeout. Bitte überprüfen Sie die Geräteverbindung.
Problem begann um 01:07:08 am 19.02.2024
Problemname: Nicht erreichbar per ICMP-Ping
Host: SWLONS
Schweregrad: Katastrophe
Betriebsdaten: Down (0)
Originale Problem-ID: 40774274
"
2,Nicht erreichbar per ICMP-Ping: PROBLEM für FW-WL,"[PROBLEM: Hoch]
Host: FW-WL (172.20.20.1)
Name: Nicht erreichbar per ICMP-Ping
Event: 40774427, Trigger: 160465
Beschreibung: Die letzten drei Versuche ergaben einen Timeout. Bitte überprüfen Sie die Geräteverbindung.
Problem begann um 01:08:20 am 19.02.2024
Problemname: Nicht erreichbar per ICMP-Ping
Host: FW-WL
Schweregrad: Hoch
Betriebsdaten: Down (0)
Originale Problem-ID: 40774427
"
3,Health Check State Failed to FW_NA on member 2: PROBLEM für FW-DC,"[PROBLEM: Hoch]
Host: FW-DC (192.168.200.1)
Name: Health Check State Failed to FW_NA on member 2
Event: 40774972, Trigger: 163788
Beschreibung: 
Problem begann um 01:09:51 am 19.02.2024
Problemname: Health Check State Failed to FW_NA on member 2
Host: FW-DC
Schweregrad: Hoch
Betriebsdaten: Status: Alarm (1)
Originale Problem-ID: 40774972
"
4,Health Check State Failed to FW_NA on member 3: PROBLEM für FW-DC,"[PROBLEM: Hoch]
Host: FW-DC (192.168.200.1)
Name: Health Check State Failed to FW_NA on member 3
Event: 40774973, Trigger: 163789
Beschreibung: 
Problem begann um 01:09:51 am 19.02.2024
Problemname: Health Check State Failed to FW_NA on member 3
Host: FW-DC
Schweregrad: Hoch
Betriebsdaten: Status: Alarm (1)
Originale Problem-ID: 40774973
"
5,VPN Tunnel Down [ADM 73 - 10.122.96.0/17]: PROBLEM für FW-DC,"[PROBLEM: Hoch]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [ADM 73 - 10.122.96.0/17]
Event: 40776532, Trigger: 163805
Beschreibung: IPsec VPN Tunnel Phase 2 ist down, bitte überprüfen!
Problem begann um 01:11:21 am 19.02.2024
Problemname: VPN Tunnel Down [ADM 73 - 10.122.96.0/17]
Host: FW-DC
Schweregrad: Hoch
Betriebsdaten: 1
Originale Problem-ID: 40776532
"
6,VPN Tunnel Down [ADM 74 - 10.122.0.0/20]: PROBLEM für FW-DC,"[PROBLEM: Hoch]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [ADM 74 - 10.122.0.0/20]
Event: 40776534, Trigger: 163807
Beschreibung: IPsec VPN Tunnel Phase 2 ist down, bitte überprüfen!
Problem begann um 01:11:21 am 19.02.2024
Problemname: VPN Tunnel Down [ADM 74 - 10.122.0.0/20]
Host: FW-DC
Schweregrad: Hoch
Betriebsdaten: 1
Originale Problem-ID: 40776534
"
7,VPN Tunnel Down [ADM 74 - 10.122.96.0/17]: PROBLEM für FW-DC,"[PROBLEM: Hoch]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [ADM 74 - 10.122.96.0/17]
Event: 40776535, Trigger: 163808
Beschreibung: IPsec VPN Tunnel Phase 2 ist down, bitte überprüfen!
Problem begann um 01:11:21 am 19.02.2024
Problemname: VPN Tunnel Down [ADM 74 - 10.122.96.0/17]
Host: FW-DC
Schweregrad: Hoch
Betriebsdaten: 1
Originale Problem-ID: 40776535
"
8,VPN Tunnel Down [TAHITI - 10.116.0.0/16]: PROBLEM für FW-DC,"[PROBLEM: Hoch]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [TAHITI - 10.116.0.0/16]
Event: 40776536, Trigger: 163809
Beschreibung: IPsec VPN Tunnel Phase 2 ist down, bitte überprüfen!
Problem begann um 01:11:21 am 19.02.2024
Problemname: VPN Tunnel Down [TAHITI - 10.116.0.0/16]
Host: FW-DC
Schweregrad: Hoch
Betriebsdaten: 1
Originale Problem-ID: 40776536
"
9,VPN Tunnel Down [TAHITI - 10.122.96.0/17]: PROBLEM für FW-DC,"[PROBLEM: Hoch]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [TAHITI - 10.122.96.0/17]
Event: 40776538, Trigger: 163811
Beschreibung: IPsec VPN Tunnel Phase 2 ist down, bitte überprüfen!
Problem begann um 01:11:21 am 19.02.2024
Problemname: VPN Tunnel Down [TAHITI - 10.122.96.0/17]
Host: FW-DC
Schweregrad: Hoch
Betriebsdaten: 1
Originale Problem-ID: 40776538
"
10,VPN Tunnel Down [TAHITI - 10.122.0.0/20]: PROBLEM für FW-DC,"[PROBLEM: Hoch]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [TAHITI - 10.122.0.0/20]
Event: 40776537, Trigger: 163810
Beschreibung: IPsec VPN Tunnel Phase 2 ist down, bitte überprüfen!
Problem begann um 01:11:21 am 19.02.2024
Problemname: VPN Tunnel Down [TAHITI - 10.122.0.0/20]
Host: FW-DC
Schweregrad: Hoch
Betriebsdaten: 1
Originale Problem-ID: 40776537
"
