ID,SUBJECT,MESSAGE
1,No disponible por ping ICMP: PROBLEMA para 10.116.156.108,"[PROBLEMA: Desastre]
Host: 10.116.156.108 (10.116.156.108)
Nombre: No disponible por ping ICMP
Evento: 40774274, Trigger: 28759
Descripción: Los últimos tres intentos devolvieron timeout. Por favor, verifique la conectividad del dispositivo.
El problema comenzó a las 01:07:08 el 2024.02.19
Nombre del problema: No disponible por ping ICMP
Host: SWLONS
Gravedad: Desastre
Datos operativos: Caído (0)
ID del problema original: 40774274
"
2,No disponible por ping ICMP: PROBLEMA para FW-WL,"[PROBLEMA: Alto]
Host: FW-WL (172.20.20.1)
Nombre: No disponible por ping ICMP
Evento: 40774427, Trigger: 160465
Descripción: Los últimos tres intentos devolvieron timeout. Por favor, verifique la conectividad del dispositivo.
El problema comenzó a las 01:08:20 el 2024.02.19
Nombre del problema: No disponible por ping ICMP
Host: FW-WL
Gravedad: Alto
Datos operativos: Caído (0)
ID del problema original: 40774427
"
3,Estado de verificación de salud fallido para FW_NA en el miembro 2: PROBLEMA para FW-DC,"[PROBLEMA: Alto]
Host: FW-DC (192.168.200.1)
Nombre: Estado de verificación de salud fallido para FW_NA en el miembro 2
Evento: 40774972, Trigger: 163788
Descripción: 
El problema comenzó a las 01:09:51 el 2024.02.19
Nombre del problema: Estado de verificación de salud fallido para FW_NA en el miembro 2
Host: FW-DC
Gravedad: Alto
Datos operativos: Estado: Alarma (1)
ID del problema original: 40774972
"
4,Estado de verificación de salud fallido para FW_NA en el miembro 3: PROBLEMA para FW-DC,"[PROBLEMA: Alto]
Host: FW-DC (192.168.200.1)
Nombre: Estado de verificación de salud fallido para FW_NA en el miembro 3
Evento: 40774973, Trigger: 163789
Descripción: 
El problema comenzó a las 01:09:51 el 2024.02.19
Nombre del problema: Estado de verificación de salud fallido para FW_NA en el miembro 3
Host: FW-DC
Gravedad: Alto
Datos operativos: Estado: Alarma (1)
ID del problema original: 40774973
"
5,Túnel VPN caído [ADM 73 - 10.122.96.0/17]: PROBLEMA para FW-DC,"[PROBLEMA: Alto]
Host: FW-DC (192.168.200.1)
Nombre: Túnel VPN caído [ADM 73 - 10.122.96.0/17]
Evento: 40776532, Trigger: 163805
Descripción: El túnel VPN IPsec Fase 2 está caído, ¡por favor verifique!
El problema comenzó a las 01:11:21 el 2024.02.19
Nombre del problema: Túnel VPN caído [ADM 73 - 10.122.96.0/17]
Host: FW-DC
Gravedad: Alto
Datos operativos: 1
ID del problema original: 40776532
"
6,Túnel VPN caído [ADM 74 - 10.122.0.0/20]: PROBLEMA para FW-DC,"[PROBLEMA: Alto]
Host: FW-DC (192.168.200.1)
Nombre: Túnel VPN caído [ADM 74 - 10.122.0.0/20]
Evento: 40776534, Trigger: 163807
Descripción: El túnel VPN IPsec Fase 2 está caído, ¡por favor verifique!
El problema comenzó a las 01:11:21 el 2024.02.19
Nombre del problema: Túnel VPN caído [ADM 74 - 10.122.0.0/20]
Host: FW-DC
Gravedad: Alto
Datos operativos: 1
ID del problema original: 40776534
"
7,Túnel VPN caído [ADM 74 - 10.122.96.0/17]: PROBLEMA para FW-DC,"[PROBLEMA: Alto]
Host: FW-DC (192.168.200.1)
Nombre: Túnel VPN caído [ADM 74 - 10.122.96.0/17]
Evento: 40776535, Trigger: 163808
Descripción: El túnel VPN IPsec Fase 2 está caído, ¡por favor verifique!
El problema comenzó a las 01:11:21 el 2024.02.19
Nombre del problema: Túnel VPN caído [ADM 74 - 10.122.96.0/17]
Host: FW-DC
Gravedad: Alto
Datos operativos: 1
ID del problema original: 40776535
"
8,Túnel VPN caído [TAHITI - 10.116.0.0/16]: PROBLEMA para FW-DC,"[PROBLEMA: Alto]
Host: FW-DC (192.168.200.1)
Nombre: Túnel VPN caído [TAHITI - 10.116.0.0/16]
Evento: 40776536, Trigger: 163809
Descripción: El túnel VPN IPsec Fase 2 está caído, ¡por favor verifique!
El problema comenzó a las 01:11:21 el 2024.02.19
Nombre del problema: Túnel VPN caído [TAHITI - 10.116.0.0/16]
Host: FW-DC
Gravedad: Alto
Datos operativos: 1
ID del problema original: 40776536
"
9,Túnel VPN caído [TAHITI - 10.122.96.0/17]: PROBLEMA para FW-DC,"[PROBLEMA: Alto]
Host: FW-DC (192.168.200.1)
Nombre: Túnel VPN caído [TAHITI - 10.122.96.0/17]
Evento: 40776538, Trigger: 163811
Descripción: El túnel VPN IPsec Fase 2 está caído, ¡por favor verifique!
El problema comenzó a las 01:11:21 el 2024.02.19
Nombre del problema: Túnel VPN caído [TAHITI - 10.122.96.0/17]
Host: FW-DC
Gravedad: Alto
Datos operativos: 1
ID del problema original: 40776538
"
10,Túnel VPN caído [TAHITI - 10.122.0.0/20]: PROBLEMA para FW-DC,"[PROBLEMA: Alto]
Host: FW-DC (192.168.200.1)
Nombre: Túnel VPN caído [TAHITI - 10.122.0.0/20]
Evento: 40776537, Trigger: 163810
Descripción: El túnel VPN IPsec Fase 2 está caído, ¡por favor verifique!
El problema comenzó a las 01:11:21 el 2024.02.19
Nombre del problema: Túnel VPN caído [TAHITI - 10.122.0.0/20]
Host: FW-DC
Gravedad: Alto
Datos operativos: 1
ID del problema original: 40776537
"
